web-scraper-order,web-scraper-start-url,descrip,precio
1616375077-2913,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,CASA EN RENTA MILENIO III LUCEPOLIS,"$15,000"
1616375226-3138,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5,Casa en renta en El Refugio,"$11,500"
1616375161-3036,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3,"PRECIOSA CASA AMUEBLADA EN RESIDENCIAL PARAISO, JURIQUILLA","$16,000"
1616375119-2985,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,RENTA CASA JURIQUILLA QUERETARO,"$10,500"
1616375290-3212,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2,"Casa en condominio en Renta, en Residencial el Refugio, Querétaro","$10,500"
1616375077-2927,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,Casa en renta Milenio 3 habitaciones JRH,"$15,500"
1616375226-3121,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5,Renta de Casa Amueblada en El Refugio  4 recamaras,"$13,800"
1616375290-3217,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2,"Impecable mantenimiento de dos niveles, Casa en El Refugio sin amueblar! RCS","$13,500"
1616375035-2844,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1,Casa en renta El Mirador 3 habitaciones AVH,"$12,000"
1616375098-2940,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=6,"Casa amueblada en zona Juriquilla Santa fe, Queretaro con 2 recamaras en renta","$17,000"
1616375248-3152,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,Casa en Renta Torre de Piedra El Refugio,"$16,000"
1616375056-2875,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=2,Casa en El Milenio de 3 niveles con cocina equipada! GOC 19-2205,"$16,000"
1616375203-3100,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,"Casa sola en Renta, en Juriquilla, Querétaro","$35,000"
1616375226-3113,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5,Casa en renta El Refugio 3 habitaciones JGCC,"$12,500"
1616375226-3130,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5,Casa bonita y espaciosa en Renta en la zona premium del Refugio JF,"$13,000"
1616375248-3155,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,Gran casa en Renta. El Refugio. FVR,"$15,500"
1616375161-3027,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3,JURIQUILLA CASA EN RENTA 3 RECAMARAS CON BAÑO COMPLETO CADA UNA ROOF GARDEN,"$18,000"
