web-scraper-order,web-scraper-start-url,titulo,precio,habitaciones,metros
"1615691404-919","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3","CASA EN RENTA EN JURIQUILLA, CUMBRES DEL LAGO, AMUEBLADA","$ 21,000","2 Recámaras","153 m² Construidos"
"1615691461-984","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5","Casa en renta El Refugio 3 habitaciones JRH","$ 12,500","3 Recámaras","164 m² Construidos"
"1615691424-941","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2","RENTA DE CASA EN JARDINES DE JURIQUILLA","$ 16,000","3 Recámaras","220 m² Construidos"
"1615691488-1017","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4","Amplia casa en renta en El Refugio","$ 12,500","3 Recámaras","190 m² Construidos"
"1615691488-1013","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4","Bella casa en renta (con o sin muebles) en Fray Junipero Serra OFP 20-101","$ 35,000","5 Recámaras","410 m² Construidos"
"1615691316-817","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1","Casa en renta, Milenio III Querétaro","$ 20,000","3 Recámaras","230 m² Construidos"
"1615691442-975","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1","RENTA CASA AMPLIA VALLE DE JURIQUILLA 3 RECAMARAS CERCA HOSPITALES ESCUELAS","$ 15,000","3 Recámaras","180 m² Construidos"
"1615691542-1057","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2","Casa sin amueblar en El Refugio de 3 dormitorios! GOC 20-1606","$ 13,000","3 Recámaras","164 m² Construidos"
"1615691316-822","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1","Casa en El Milenio de 3 niveles, sin amoblar y 300 mts2! RAHQRO","$ 16,000","3 Recámaras","300 m² Construidos"
"1615691241-769","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-rent/","Amplia Casa en Renta","$ 65,000","4 Recámaras","650 m² Construidos"
"1615691461-983","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5","Casa en Fracc. El Refigio Qro.  CMC #20-1606","$ 13,000","3 Recámaras","164 m² Construidos"
"1615691355-856","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5","JURIQUILLA CASA EN RENTA EN PRIVADA CON 3 RECAMARAS JARDIN ROOF GARDEN ALBERCA","$ 22,000","3 Recámaras","196 m² Construidos"
"1615691562-1095","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1","RENTA CASA EN EL REFUGIO, , BONITA, AMPLIA, EN PRIVADA CON ALBERCA!","$ 10,000","3 Recámaras","158 m² Construidos"
"1615691488-1021","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4","Bella casa en renta con amenidades en El Refugio, OFP 19-2439","$ 14,000","3 Recámaras","142 m² Construidos"
"1615691562-1084","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1","Casa renta Querétaro el Refugio Hermosa casa  zona en expansión con plusvalía","$ 10,000","3 Recámaras","150 m² Construidos"
"1615691404-909","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3","Amplia y hermosa casa en Renta en Juriquilla en privada con vigilancia JF","$ 40,000","4 Recámaras","525 m² Construidos"
"1615691279-807","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1","Renta de Casa Equipada en Privada Muy Bien Ubicada - El Mirador","$ 11,500","3 Recámaras","120 m² Construidos"
"1615691424-933","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2","RENTA CASAS QUERETARO JURIQUILLA LA RICA  AA","$ 55,000","4 Recámaras","550 m² Construidos"
"1615691372-892","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4","Departamento Duplex en renta, posee dos recamaras,con alberca y GYM, YCC","$ 14,000","2 Recámaras","156 m² Construidos"
"1615691442-964","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1","Casa en condominio en Renta, en Juriquilla, Querétaro","$ 13,000","3 Recámaras","159 m² Construidos"
"1615691442-954","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1","C206 Monisima casa amueblada o sin amueblar, jacuzzi, priv. vig 24 Excelente $","$ 15,000","3 Recámaras","130 m² Construidos"
"1615691279-809","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1","Casa en renta con 3 recamaras en el Mirador Provenza YCC","$ 10,500","3 Recámaras","90 m² Construidos"
"1615691279-808","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1","Casa en Renta en Residencial del parque 3 recamaras, YCC","$ 12,000","3 Recámaras","119 m² Construidos"
"1615691262-789","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=2","Álamos 3a Sección, Querétaro","$ 11,500","3 Recámaras","120 m² Construidos"
"1615691355-868","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5","Se renta amplia casa en juriquilla estilo colonial 3 recamaras 4 baños","$ 18,000","3 Recámaras","312 m² Construidos"
"1615691488-1002","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4","Amplia casa en El Refugio de 3 recamaras y 3 niveles!","$ 15,500","3 Recámaras","246 m² Construidos"
"1615691404-910","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3","Casa en Renta Querétaro San Isidro Juriquilla dentro de condominio privado","$ 10,500","3 Recámaras","120 m² Construidos"
"1615691514-1032","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3","Casa en renta en El Refugio de 3 recamaras sin Amueblar RAHQRO","$ 14,000","3 Recámaras","190 m² Construidos"
"1615691355-869","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5","Casa en renta Cumbres de Juriquilla","$ 15,000","3 Recámaras","180 m² Construidos"
"1615691442-957","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1","SE RENTA CASA EN JURIQUILLA DENTRO DE PRIVADA","$ 13,000","3 Recámaras","140 m² Construidos"
"1615691316-823","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1","Rento casa Milenio, 4 recamaras, 5 baños, estudio PB, Roof, amplios espacios","$ 15,000","4 Recámaras","220 m² Construidos"
"1615691372-888","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4","BAJA SU PRECIO Casa en venta en privada de 6 casas en Juriquilla Queretaro","$ 17,000,000","4 Recámaras","725 m² Construidos"
"1615691461-989","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5","Casa en renta El Refugio 3 habitaciones YCC","$ 14,000","3 Recámaras","155 m² Construidos"
"1615691279-802","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1","Casa bonita en renta ubicada en El Mirador con 2 recámaras JF","$ 11,500","2 Recámaras","127 m² Construidos"
"1615691404-913","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3","CASA EN JURIQUILLA","$ 12,000","3 Recámaras","null"
"1615691372-890","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4","Casa en Renta  SAN ISIDRO JURIQUILLA Querétaro 2 habitaciones cada una con baño","$ 8,500","2 Recámaras","100 m² Construidos"
"1615691337-843","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=6","Casa Amoblada en renta en Altos de juriquilla AQC","$ 22,000","3 Recámaras","196 m² Construidos"
"1615691355-866","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5","Estrena Casa en condominio en venta con doble seguridad,Lomas de Juriquilla,QRO.","Contactar agente para saber precio","3 Recámaras","207 m² Construidos"
"1615691279-801","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1","Casa amueblada en El Mirador de 3 recamaras! RAHQRO 20-3384","$ 10,500","3 Recámaras","91 m² Construidos"
