web-scraper-order,web-scraper-start-url,titulo,precio
1618362589-1064,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=3,"Casa en Venta en Jurica, Queretaro","$4,250,000"
1618362461-856,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=10,Casa en venta Jurica 5 habitaciones JGCC,"$16,500,000"
1618362589-1059,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=3,"Casa en venta en Fraccionamiento Jurica Campestre, Querétaro","$9,500,000"
1618362430-792,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=12,"Casa en Venta en Villas Regency, Jurica, Queretaro con 4 recamaras y area social","$21,500,000"
1618362603-1103,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=2,VENTA DE CASA EN  PALMAS  EN JURIQUILLA CERCA DE PLAZA ANTEA,"$2,100,000"
1618362540-986,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=6,CASA EN VENTA EN JURICA QUERETARO DE 1256 M2 TERRENO CON 6 RECAMARAS EN UN PISO,"$9,500,000"
1618362446-819,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=11,"Casa en Venta en Jurica, Queretaro","$9,000,000"
1618362461-841,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=10,Casa en Jurica en calle cerrada vigilancia y 610 ms2! RAHQRO,"$11,350,000"
1618362589-1061,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=3,CASA EN VENTA EN JURICA,"$12,000,000"
1618362618-1135,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=1,"VENTA CASA - Jurica Robles, la casa que lo tiene todo","$19,850,000"
1618362520-945,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=7,Se Vende Casa en Jurica de 5 Recamaras Mas Servicio y Bella Alberca Jpc,"$11,350,000"
1618362412-769,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=13,Casa en residencial cerrada con vigilancia de 610 mts2! RCS,"$11,350,000"
1618362589-1055,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=3,"Casa en Venta en  Jurica, Querétaro de una planta, remodelada con 3 recamaras","$5,500,000"
1618362557-987,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=5,"Casa en Venta en Arco de Piedra, Jurica, Queretaro","$6,200,000"
1618362589-1072,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=3,Venta casa de un nivel con 3 recamaras en Fraccionamiento Jurica,"$5,390,000"
1618362461-850,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=10,Fraccionamiento Jurica Casa en Venta,"$9,100,000"
1618362430-785,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=12,CASA EN SABINO Col.  Jurica Mcpio. Querétaro Querétaro,"$10,190,306"
1618362589-1071,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=3,"Preciosa Residencia en Jurica con Bungalow Independiente T.1,050 m2, C.890 m2,..","$14,500,000"
1618362412-772,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=13,Casa en Venta. Jurica. FVR,"$6,200,000"
1618362498-913,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=8,Casa en venta Jurica 5 habitaciones JGCC,"$16,500,000"
1618362478-878,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=9,VENTA casa en Jurica con espacios funcionales y 3 recamaras!,"$3,320,000"
1618362618-1113,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=1,"Venta Casa Regency Club Residencial, Jurica, Querétaro","$16,500,000"
1618362520-944,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=7,Residencia en Jurica Queretaro rediseñada y con Alberca EN VENTA ¡Sensacional!,"$21,250,000"
1618362618-1132,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=1,Casa en Venta Jurica Misiones,"$3,950,000"
1618362498-906,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=8,Casa en Jurica de 3 recamaras con closet! RCS 20-989,"$3,320,000"
1618362520-929,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=7,Casa en Jurica de 3 recamaras con closet! RAHQRO 20-3386,"$6,200,000"
1618362412-774,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=13,Casa lujosa en Jurica de 4 dormitorios más estudio! RAHQRO 20-805,"$16,500,000"
