web-scraper-order,web-scraper-start-url,titulo,precio,mets
1620503000-8462,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?page=1,"Terreno en El Refugio, zona destacado de la ciudad y 122 mts2! RAHH","$1,450,000",122 m²
1620503079-8790,https://www.lamudi.com.mx/queretaro-arteaga/juriquilla-1/terreno/for-sale/?page=1,"Reserve Bio Grand, Juriquilla 200m2 en bonito Fracc. nuevo con lagos y vigilanc.","$800,000",200 m²
1620503079-8796,https://www.lamudi.com.mx/queretaro-arteaga/juriquilla-1/terreno/for-sale/?page=1,Venta terreno en Lomas de Juriquilla Queretaro 250 mts hermosa vista,"$1,450,000",250 m²
1620503043-8641,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/terreno/for-sale/,Terreno en El Mirador de 133 mts2 muy cerca de la amenidades y universidades!,"$700,000",133 m²
1620503043-8639,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/terreno/for-sale/,Oportunidad preventa de terreno ubicado en El Mirador Qro. JF,"$986,400",180 m²
1620502885-8010,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?page=4,TERRENO EN VENTA EL CAMPANARIO RESIDENCIAL,"$11,500",1235 m²
1620503071-8775,https://www.lamudi.com.mx/queretaro-arteaga/juriquilla-1/terreno/for-sale/?page=2,Terreno en venta en Loarca de 2788.55 m2,"$7,807,940",2788 m²
1620502916-8111,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?page=3,"Venta de terreno habitacional en Milenio III, Querétaro","$3,706,895",612 m²
1620503016-8517,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/terreno/for-sale/?page=3,Terreno en venta Cumbres del Lago JRH,"$2,077,684",253 m²
1620503037-8623,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/terreno/for-sale/,"Terreno habitacional en Venta, en Colinas del Cimatario, Querétaro","$2,100,000",250 m²
1620502908-8095,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?page=1,Terreno en venta en El Campanario Calvarito CT212243,"$7,100,000",653 m²
1620503058-8697,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/terreno/for-sale/?page=2,"Terreno habitacional en Venta, en Jurica, Querétaro","$6,480,000",1350 m²
