web-scraper-order,web-scraper-start-url,titulo,precio
1618363617-3668,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=37,"Casa sola en Venta, en Juriquilla, Querétaro","$4,400,000"
1618363335-2649,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=1,203287 El Refugio casa con 3 recamaras a pie de calle,"$2,390,000"
1618362213-210,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=14,"Casa en condominio en Venta, en Cumbres del Lago, Querétaro","$3,018,000"
1618363526-3339,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=48,CASA EN VENTA BIOGRAND,"$2,600,000"
1618363571-3527,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=42,"CASA EN VENTA EN JURIQUILLA, CONDOMINIO AMBROSIA, GRAN OPORTUNIDAD","$3,150,000"
1618362184-112,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=18,Casa en venta de oportunidad en Juriquilla,"$3,750,000"
1618363259-2362,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=11,Refugio vende casa de desarrollo en la zona premium 3 recamaras.,"$2,980,000"
1618362644-1154,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-13/casa/for-sale/?page=2,"Casa en condominio en Venta, en El Pueblito, Corregidora","$3,150,000"
1618363316-2549,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=4,203123 El refugio 3 recamaras lista para habitar,"$2,280,000"
1618363000-1792,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=30,VENTA DE CASA EN EL REFUGIO,"$2,360,000"
1618362164-43,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=20,Casa - Fraccionamiento Cumbres del Lago,"$6,800,000"
1618362603-1094,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=2,"VENTA de casa en Jurica QUERETARO con Gran Jardin, 4 Recamaras.","$7,130,000"
1618363526-3340,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=48,"Casa NUEVA 3 Recamara, Family Room en Privada con Alberca $4,239,500 JURIQUILLA","$4,239,500"
1618363190-2172,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=17,"Ven a vivir en la zona más privilegiada de Querétaro, El Refugio RAHQRO","$2,805,642"
1618362675-1210,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=10,Jardines de Querétaro PREVENTA casa con buena ubicación de 2 recamaras!,"$3,447,006"
1618362156-28,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=21,Casa en venta en Villas del Mesón,"$13,500,000"
1618363617-3672,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=37,"Casa sola en Venta, en Juriquilla, Querétaro","$5,113,000"
1618362327-599,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=2,"Venta, Residencia en La Condesa Juriquilla, 4 Recámaras con Baño, Jardín, ROOF","$4,500,000"
1618362395-744,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/los-candiles-1/casa/for-sale/,CASA EN VENTA CANDILES,"$2,100,000"
1618363691-3961,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=27,Casa en Juriquilla de 3 dormitorios y 504 mts2! RCS 20-811,"$12,560,300"
1618363786-4365,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=14,Pre venta de Casa minimalista en Lomas de Juriquilla,"$5,100,000"
1618362395-719,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/los-candiles-1/casa/for-sale/,CASAS EN PREVENTA EN CANDILES 2 RECAMARAS CON CASA CLUB,"$1,150,000"
1618362498-897,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=8,Casa en venta Jurica 3 habitaciones JGCC,"$6,200,000"
1618363511-3282,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=50,"Estrena Casa en condominio en venta con doble seguridad,Lomas de Juriquilla,QRO.","$3,399,000"
1618363594-3594,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=39,CASA DE 3 RECAMARAS EN SAN ISIDRO JURIQUILLA   #20-2183,"$2,590,000"
1618363057-1884,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=26,Casa a estrenar en El Refugio de 3 recamaras! RCS,"$5,290,000"
1618362662-1189,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-13/casa/for-sale/?page=1,"Ubicación, Espacio, Seguridad, Diseño y Mucho Más Aprovecha","$3,550,000"
1618362970-1721,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=32,El Refugio - Amplia Casa con Roof Garden en Venta,"$3,600,000"
1618362377-705,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/casa/for-sale/?page=1,Casa en venta en Querétaro Centro Sur en Condominio con Alberca y Vigilancia,"$5,990,000"
1618363072-1915,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=25,Casa en venta dentro de la zona premium del Refugio! RAHQRO,"$2,997,650"
1618363801-4421,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=12,"Venta de Casa en Balcones Juriquilla, dentro de privada con alberca.","$7,350,000"
1618362175-69,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=19,"Casa en venta en Cumbres del Lago, Juriquilla.","$5,400,000"
1618363779-4317,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=15,Casa en Juriquilla de con 4 puestos de estacionamientos y 504 mts2 RAHH,"$13,000,000"
1618363757-4221,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=18,Casa en Altos de Juriquilla en zona de mayor plusvalía y 174 mts2! RAHQRO,"$2,900,000"
1618363291-2465,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=7,"CASA NUEVA EN VENTA, MUY BONITA! OPORTUNIDAD INVIERTE EN EL REFUGIO!","$2,525,000"
1618363594-3604,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=39,San Isidro Juriquilla - Hermosa casa en VENTA a estrenar,"$2,590,000"
1618363178-2152,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=18,Casa en Venta. El Refugio. FVR,"$2,280,000"
1618362889-1586,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=36,QUERETARO ESTRENA CASA  EN EL REFUGIO  CON ROOF GARDEN,"$2,900,000"
1618362603-1099,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=2,Casa en venta Jurica 5 habitaciones JGCC,"$11,350,000"
